refset;algorithm;variation;binary;expression;bp distance;ROC-AUC per chromosome;Recall snps;Recall entries;Recall genes;ROC-AUC overall (lco);ROC-AUC - mean per snpl (lco);Hits@1(lco);Hits@3(lco);Hits@5(lco);Hits@10(lco);Mean rank (lco);Median rank (lco)
farashi;KNN5;combo;binary;no expression;500;0,543113739;135;144;116;59,89449231;0,514331864;43;135;144;144;2,076388889;2
farashi;KNN5;combo;binary;no expression;1000;0,508234278;173;185;148;58,38500908;0,506015884;38;182;185;185;2,232432432;2
farashi;KNN5;combo;binary;no expression;2000;0,457639066;194;208;167;53,20058665;0,493027613;23;207;208;208;2,307692308;2
farashi;KNN5;combo;binary;no expression;depict;;87;87;83;73,65602913;0,770561782;68;85;87;87;1,298850575;1
farashi;KNN5;incoming;normal;diff expression;25;;25;26;18;59,4017094;0,783333333;22;26;26;26;1,153846154;1
farashi;KNN5;incoming;normal;diff expression;50;;39;40;31;62,36111111;0,758089133;34;40;40;40;1,175;1
farashi;KNN5;incoming;normal;diff expression;100;;45;46;37;64,90363066;0,656789322;30;46;46;46;1,347826087;1
farashi;KNN5;incoming;normal;diff expression;500;0,496303065;121;130;103;61,26424501;0,518050228;39;125;130;130;2,007692308;2
farashi;KNN5;incoming;normal;diff expression;1000;0,544585418;159;170;134;63,43754775;0,516361474;43;165;170;170;2,1;2
farashi;KNN5;incoming;normal;diff expression;2000;0,494125233;180;192;152;59,28268412;0,494963502;31;190;192;192;2,244791667;2
farashi;KNN5;incoming;normal;diff expression;depict;;79;79;75;74,87638449;0,749631198;59;78;79;79;1,379746835;1
farashi;KNN5;incoming;normal;no expression;25;;25;26;18;73,07692308;0,84;21;26;26;26;1,192307692;1
farashi;KNN5;incoming;normal;no expression;50;;39;40;31;67,52777778;0,760531136;31;40;40;40;1,225;1
farashi;KNN5;incoming;normal;no expression;100;;45;46;37;75,68354998;0,723095238;32;46;46;46;1,304347826;1
farashi;KNN5;incoming;normal;no expression;500;0,512552768;121;130;103;61,48771368;0,514737316;40;123;130;130;2,007692308;2
farashi;KNN5;incoming;normal;no expression;1000;0,540974086;159;170;134;64,31464859;0,526083616;43;151;170;170;2,229411765;2
farashi;KNN5;incoming;normal;no expression;2000;0,493575458;180;192;152;58,840856;0,506343666;36;184;192;192;2,25;2
farashi;KNN5;incoming;normal;no expression;depict;;79;79;75;78,13488924;0,767405063;61;79;79;79;1,329113924;1
farashi;KNN5;incoming;binary;diff expression;25;;25;26;18;64,74358974;0,806666667;20;26;26;26;1,230769231;1
farashi;KNN5;incoming;binary;diff expression;50;;39;40;31;68,66666667;0,72542735;31;40;40;40;1,275;1
farashi;KNN5;incoming;binary;diff expression;100;;45;46;37;63,09950695;0,610396825;27;45;46;46;1,5;1
farashi;KNN5;incoming;binary;diff expression;500;0,522580665;121;130;103;60,86093305;0,498467897;32;123;130;130;2,030769231;2
farashi;KNN5;incoming;binary;diff expression;1000;0,497005404;159;170;134;56,98462567;0,478943762;38;167;170;170;2,158823529;2
farashi;KNN5;incoming;binary;diff expression;2000;0,494753338;180;192;152;56,30208333;0,493355067;34;191;192;192;2,177083333;2
farashi;KNN5;incoming;binary;diff expression;depict;;79;79;75;75,37579114;0,763381952;58;78;79;79;1,329113924;1
farashi;KNN5;incoming;binary;no expression;25;;25;26;18;63,67521368;0,756666667;19;26;26;26;1,307692308;1
farashi;KNN5;incoming;binary;no expression;50;;39;40;31;63,72222222;0,703296703;30;40;40;40;1,3;1
farashi;KNN5;incoming;binary;no expression;100;;45;46;37;60,81353653;0,636616162;27;46;46;46;1,565217391;1
farashi;KNN5;incoming;binary;no expression;500;0,513263074;121;130;103;56,21112298;0,500653833;36;129;130;130;1,969230769;2
farashi;KNN5;incoming;binary;no expression;1000;0,476473977;159;170;134;57,67341482;0,469779584;43;169;170;170;2,082352941;2
farashi;KNN5;incoming;binary;no expression;2000;0,494889589;180;192;152;58,73235264;0,513892677;38;192;192;192;2,057291667;2
farashi;KNN5;incoming;binary;no expression;depict;;79;79;75;78,01127373;0,809236303;66;79;79;79;1,215189873;1
farashi;KNN5;outgoing;normal;diff expression;25;;29;30;22;65,70175439;0,816091954;27;29;30;30;1,166666667;1
farashi;KNN5;outgoing;normal;diff expression;50;;42;43;34;69,61444308;0,811507937;39;43;43;43;1,139534884;1
farashi;KNN5;outgoing;normal;diff expression;100;0,384234429;50;51;42;59,73262032;0,601515873;30;51;51;51;1,529411765;1
farashi;KNN5;outgoing;normal;diff expression;500;0,474774193;128;137;109;58,58387957;0,485199877;37;128;137;137;2,182481752;2
farashi;KNN5;outgoing;normal;diff expression;1000;0,462524934;164;176;139;60,01928675;0,460299741;26;159;176;176;2,414772727;2
farashi;KNN5;outgoing;normal;diff expression;2000;0,455345101;182;196;155;58,45405186;0,472793375;20;196;196;196;2,295918367;2
farashi;KNN5;outgoing;normal;diff expression;depict;;79;79;75;76,32911392;0,752275467;55;78;79;79;1,379746835;1
farashi;KNN5;outgoing;normal;no expression;25;;29;30;22;70,78947368;0,822413793;25;29;30;30;1,233333333;1
farashi;KNN5;outgoing;normal;no expression;50;;42;43;34;67,0746634;0,754960317;36;43;43;43;1,162790698;1
farashi;KNN5;outgoing;normal;no expression;100;0,46742599;50;51;42;63,74331551;0,618007937;30;51;51;51;1,490196078;1
farashi;KNN5;outgoing;normal;no expression;500;0,489508308;128;137;109;56,24547673;0,482007545;35;134;137;137;2,138686131;2
farashi;KNN5;outgoing;normal;no expression;1000;0,515614721;164;176;139;60,96158708;0,522843376;30;168;176;176;2,267045455;2
farashi;KNN5;outgoing;normal;no expression;2000;0,502414338;182;196;155;61,56009321;0,518220141;40;186;196;196;2,183673469;2
farashi;KNN5;outgoing;normal;no expression;depict;;79;79;75;76,31450828;0,771166597;60;78;79;79;1,303797468;1
farashi;KNN5;outgoing;binary;diff expression;25;;29;30;22;57,98245614;0,743103448;23;30;30;30;1,233333333;1
farashi;KNN5;outgoing;binary;diff expression;50;;42;43;34;61,93390453;0,712301587;31;43;43;43;1,325581395;1
farashi;KNN5;outgoing;binary;diff expression;100;0,580325676;50;51;42;55,7486631;0,56084127;29;51;51;51;1,470588235;1
farashi;KNN5;outgoing;binary;diff expression;500;0,537066531;128;137;109;58,13930647;0,488156883;42;132;137;137;2,051094891;2
farashi;KNN5;outgoing;binary;diff expression;1000;0,540656908;164;176;139;57,81574578;0,50076197;38;176;176;176;2,119318182;2
farashi;KNN5;outgoing;binary;diff expression;2000;0,463852888;182;196;155;56,4574087;0,472157221;30;196;196;196;2,12755102;2
farashi;KNN5;outgoing;binary;diff expression;depict;;79;79;75;71,4946446;0,716856772;54;79;79;79;1,417721519;1
farashi;KNN5;outgoing;binary;no expression;25;;29;30;22;68,50877193;0,812068966;25;30;30;30;1,2;1
farashi;KNN5;outgoing;binary;no expression;50;;42;43;34;64,59608323;0,732142857;34;43;43;43;1,209302326;1
farashi;KNN5;outgoing;binary;no expression;100;0,5118424;50;51;42;55,73975045;0,546944444;22;51;51;51;1,666666667;2
farashi;KNN5;outgoing;binary;no expression;500;0,530855812;128;137;109;59,66713881;0,52924047;44;134;137;137;2,138686131;2
farashi;KNN5;outgoing;binary;no expression;1000;0,501755745;164;176;139;60,97414311;0,521960798;41;165;176;176;2,295454545;2
farashi;KNN5;outgoing;binary;no expression;2000;0,493936792;182;196;155;61,48405743;0,528484554;32;180;196;196;2,331632653;2
farashi;KNN5;outgoing;binary;no expression;depict;;79;79;75;74,61538462;0,746547967;60;79;79;79;1,303797468;1
farashi;KNN7;combo;normal;diff expression;25;;30;31;23;72,58064516;0,830555556;27;31;31;31;1,129032258;1
farashi;KNN7;combo;normal;diff expression;50;;45;46;37;62,14721587;0,685648148;35;46;46;46;1,239130435;1
farashi;KNN7;combo;normal;diff expression;100;0,582261693;54;55;46;60,05928854;0,577160494;31;53;55;55;1,727272727;1
farashi;KNN7;combo;normal;diff expression;500;0,547994602;135;144;116;63,07829108;0,547399043;39;131;144;144;2,201388889;2
farashi;KNN7;combo;normal;diff expression;1000;0,48998217;173;185;148;63,89284506;0,533031169;42;157;185;185;2,356756757;2
farashi;KNN7;combo;normal;diff expression;2000;0,472455847;194;208;167;56,7207016;0,511746395;36;193;208;208;2,413461538;3
farashi;KNN7;combo;normal;diff expression;depict;;87;87;83;75,86206897;0,731129048;59;85;86;87;1,482758621;1
farashi;KNN7;combo;normal;no expression;25;;30;31;23;78,15249267;0,866666667;28;31;31;31;1,129032258;1
farashi;KNN7;combo;normal;no expression;50;;45;46;37;63,86346301;0,686111111;35;46;46;46;1,239130435;1
farashi;KNN7;combo;normal;no expression;100;0,528591234;54;55;46;64,47299078;0,615972222;32;55;55;55;1,454545455;1
farashi;KNN7;combo;normal;no expression;500;0,487937687;135;144;116;58,30836964;0,462180749;34;122;144;144;2,395833333;2
farashi;KNN7;combo;normal;no expression;1000;0,530824963;173;185;148;59,0121632;0,520482234;38;170;185;185;2,324324324;2
farashi;KNN7;combo;normal;no expression;2000;0,509490179;194;208;167;57,01371104;0,506624271;24;198;208;208;2,389423077;2
farashi;KNN7;combo;normal;no expression;depict;;87;87;83;70,56471764;0,709253266;63;85;87;87;1,436781609;1
farashi;KNN7;combo;binary;diff expression;25;;30;31;23;61,07038123;0,741666667;23;31;31;31;1,322580645;1
farashi;KNN7;combo;binary;diff expression;50;;45;46;37;64,77879481;0,671759259;34;46;46;46;1,369565217;1
farashi;KNN7;combo;binary;diff expression;100;0,519854002;54;55;46;59,88142292;0,57662037;31;53;55;55;1,618181818;1
farashi;KNN7;combo;binary;diff expression;500;0,495293715;135;144;116;62,54662639;0,495946217;32;126;144;144;2,284722222;2
farashi;KNN7;combo;binary;diff expression;1000;0,504420716;173;185;148;62,79553256;0,509560578;36;170;185;185;2,232432432;2
farashi;KNN7;combo;binary;diff expression;2000;0,455342035;194;208;167;59,41155472;0,501138341;29;208;208;208;2,192307692;2
farashi;KNN7;combo;binary;diff expression;depict;;87;87;83;75,45869922;0,748653382;64;87;87;87;1,367816092;1
farashi;KNN7;combo;binary;no expression;25;;30;31;23;52,34604106;0,725;24;31;31;31;1,225806452;1
farashi;KNN7;combo;binary;no expression;50;;45;46;37;62,09000763;0,621296296;30;46;46;46;1,369565217;1
farashi;KNN7;combo;binary;no expression;100;0,57333206;54;55;46;53,84057971;0,477854938;22;54;55;55;1,8;2
farashi;KNN7;combo;binary;no expression;500;0,54257113;135;144;116;58,91575064;0,48861085;37;130;144;144;2,194444444;2
farashi;KNN7;combo;binary;no expression;1000;0,494033424;173;185;148;60,52569053;0,494457344;30;166;185;185;2,432432432;2
farashi;KNN7;combo;binary;no expression;2000;0,456304228;194;208;167;54,31834812;0,484347614;19;197;208;208;2,533653846;3
farashi;KNN7;combo;binary;no expression;depict;;87;87;83;76,9258228;0,775655754;67;85;87;87;1,344827586;1
farashi;KNN7;incoming;normal;diff expression;25;;25;26;18;68,58974359;0,85;24;26;26;26;1,076923077;1
farashi;KNN7;incoming;normal;diff expression;50;;39;40;31;58,05555556;0,687881563;30;40;40;40;1,25;1
farashi;KNN7;incoming;normal;diff expression;100;;45;46;37;66,13626177;0,660541126;36;45;46;46;1,282608696;1
farashi;KNN7;incoming;normal;diff expression;500;0,485461629;121;130;103;62,38336895;0,502824983;33;116;130;130;2,2;2
farashi;KNN7;incoming;normal;diff expression;1000;0,536854284;159;170;134;61,0276929;0,523347006;34;163;170;170;2,264705882;2
farashi;KNN7;incoming;normal;diff expression;2000;0,51020042;180;192;152;59,29075639;0,520901637;35;190;192;192;2,265625;2
farashi;KNN7;incoming;normal;diff expression;depict;;79;79;75;77,40803006;0,778849814;59;78;79;79;1,35443038;1
farashi;KNN7;incoming;normal;no expression;25;;25;26;18;70,19230769;0,87;23;26;26;26;1,115384615;1
farashi;KNN7;incoming;normal;no expression;50;;39;40;31;70,58333333;0,773046398;32;40;40;40;1,225;1
farashi;KNN7;incoming;normal;no expression;100;;45;46;37;66,08023308;0,595449735;22;46;46;46;1,630434783;2
farashi;KNN7;incoming;normal;no expression;500;0,493422368;121;130;103;59,92462013;0,489822184;37;110;130;130;2,261538462;2
farashi;KNN7;incoming;normal;no expression;1000;0,540505821;159;170;134;62,65106952;0,521533822;44;147;170;170;2,311764706;2
farashi;KNN7;incoming;normal;no expression;2000;0,481764504;180;192;152;57,52580551;0,492213568;22;184;192;192;2,4375;2
farashi;KNN7;incoming;normal;no expression;depict;;79;79;75;78,0755538;0,77630191;59;78;79;79;1,341772152;1
farashi;KNN7;incoming;binary;diff expression;25;;25;26;18;68,48290598;0,783333333;21;25;26;26;1,269230769;1
farashi;KNN7;incoming;binary;diff expression;50;;39;40;31;68,77777778;0,726495726;31;40;40;40;1,275;1
farashi;KNN7;incoming;binary;diff expression;100;;45;46;37;59,27835052;0,580740741;27;46;46;46;1,652173913;1
farashi;KNN7;incoming;binary;diff expression;500;0,510711524;121;130;103;62,48575499;0,504055957;37;121;130;130;2,1;2
farashi;KNN7;incoming;binary;diff expression;1000;0,495839799;159;170;134;59,22135218;0,492266154;33;153;170;170;2,323529412;2
farashi;KNN7;incoming;binary;diff expression;2000;0,494104952;180;192;152;55,13774389;0,495461193;32;188;192;192;2,291666667;2
farashi;KNN7;incoming;binary;diff expression;depict;;79;79;75;76,46360759;0,762132784;59;78;79;79;1,316455696;1
farashi;KNN7;incoming;binary;no expression;25;;25;26;18;66,98717949;0,813333333;21;26;26;26;1,192307692;1
farashi;KNN7;incoming;binary;no expression;50;;39;40;31;65,02777778;0,714896215;29;39;40;40;1,35;1
farashi;KNN7;incoming;binary;no expression;100;;45;46;37;61,20573734;0,601159211;25;45;46;46;1,586956522;1
farashi;KNN7;incoming;binary;no expression;500;0,555414398;121;130;103;60,86301045;0,520596559;40;124;130;130;2,061538462;2
farashi;KNN7;incoming;binary;no expression;1000;0,476507412;159;170;134;56,01699771;0,478058345;44;154;170;170;2,247058824;2
farashi;KNN7;incoming;binary;no expression;2000;0,479508962;180;192;152;57,57690128;0,496850771;35;184;192;192;2,234375;2
farashi;KNN7;incoming;binary;no expression;depict;;79;79;75;77,86293513;0,80748152;64;79;79;79;1,253164557;1
farashi;KNN7;outgoing;normal;diff expression;25;;29;30;22;56,31578947;0,756321839;24;30;30;30;1,233333333;1
farashi;KNN7;outgoing;normal;diff expression;50;;42;43;34;71,29742962;0,779761905;35;43;43;43;1,23255814;1
farashi;KNN7;outgoing;normal;diff expression;100;0,521461297;50;51;42;65,65062389;0,626690476;30;50;51;51;1,529411765;1
farashi;KNN7;outgoing;normal;diff expression;500;0,463686232;128;137;109;56,18783731;0,475258645;35;122;137;137;2,291970803;2
farashi;KNN7;outgoing;normal;diff expression;1000;0,454387762;164;176;139;62,33429454;0,487300559;28;154;176;176;2,522727273;3
farashi;KNN7;outgoing;normal;diff expression;2000;0,467799437;182;196;155;56,72759721;0,486851142;28;193;196;196;2,357142857;2
farashi;KNN7;outgoing;normal;diff expression;depict;;79;79;75;75,8617332;0,74248041;53;77;78;79;1,430379747;1
farashi;KNN7;outgoing;normal;no expression;25;;29;30;22;75,87719298;0,856896552;25;29;30;30;1,233333333;1
farashi;KNN7;outgoing;normal;no expression;50;;42;43;34;62,45410037;0,724206349;34;43;43;43;1,209302326;1
farashi;KNN7;outgoing;normal;no expression;100;0,568342304;50;51;42;70,05347594;0,675460317;36;51;51;51;1,392156863;1
farashi;KNN7;outgoing;normal;no expression;500;0,493919658;128;137;109;57,59470441;0,479081478;26;128;137;137;2,277372263;2
farashi;KNN7;outgoing;normal;no expression;1000;0,508625591;164;176;139;60,37094107;0,511480892;31;165;176;176;2,329545455;2
farashi;KNN7;outgoing;normal;no expression;2000;0,510885346;182;196;155;59,72638385;0,511508873;29;186;196;196;2,357142857;2
farashi;KNN7;outgoing;normal;no expression;depict;;79;79;75;76,09542356;0,744394213;55;78;79;79;1,430379747;1
farashi;KNN7;outgoing;binary;diff expression;25;;29;30;22;60,52631579;0,762068966;23;30;30;30;1,266666667;1
farashi;KNN7;outgoing;binary;diff expression;50;;42;43;34;57,52753978;0,681547619;30;43;43;43;1,325581395;1
farashi;KNN7;outgoing;binary;diff expression;100;0,491985454;50;51;42;55,49910873;0,550150794;30;51;51;51;1,490196078;1
farashi;KNN7;outgoing;binary;diff expression;500;0,517334184;128;137;109;57,304698;0,500541018;38;130;137;137;2,131386861;2
farashi;KNN7;outgoing;binary;diff expression;1000;0,533006998;164;176;139;57,79849191;0,505257122;38;175;176;176;2,176136364;2
farashi;KNN7;outgoing;binary;diff expression;2000;0,468103476;182;196;155;56,13290893;0,472618864;29;192;196;196;2,280612245;2
farashi;KNN7;outgoing;binary;diff expression;depict;;79;79;75;76,43622201;0,735611119;55;78;79;79;1,417721519;1
farashi;KNN7;outgoing;binary;no expression;25;;29;30;22;66,40350877;0,806896552;23;30;30;30;1,266666667;1
farashi;KNN7;outgoing;binary;no expression;50;;42;43;34;68,54345165;0,761904762;34;43;43;43;1,209302326;1
farashi;KNN7;outgoing;binary;no expression;100;0,476376874;50;51;42;56,48841355;0,567515873;28;51;51;51;1,549019608;1
farashi;KNN7;outgoing;binary;no expression;500;0,538632678;128;137;109;57,28893116;0,515658155;34;118;137;137;2,364963504;2
farashi;KNN7;outgoing;binary;no expression;1000;0,477957232;164;176;139;61,29496255;0,511353929;31;145;176;176;2,465909091;2
farashi;KNN7;outgoing;binary;no expression;2000;0,475192879;182;196;155;59,68663605;0,526368195;30;177;196;196;2,464285714;3
farashi;KNN7;outgoing;binary;no expression;depict;;79;79;75;71,7429406;0,731747577;57;79;79;79;1,379746835;1
farashi;KNN9;combo;normal;diff expression;25;;30;31;23;66,20234604;0,766666667;25;31;31;31;1,193548387;1
farashi;KNN9;combo;normal;diff expression;50;;45;46;37;61,82303585;0,687962963;36;46;46;46;1,217391304;1
farashi;KNN9;combo;normal;diff expression;100;0,549784964;54;55;46;65,96179183;0,652391975;32;53;55;55;1,6;1
farashi;KNN9;combo;normal;diff expression;500;0,564002414;135;144;116;66,37762428;0,578991964;44;123;144;144;2,277777778;2
farashi;KNN9;combo;normal;diff expression;1000;0,478326346;173;185;148;60,91531347;0,522233433;32;155;185;185;2,502702703;3
farashi;KNN9;combo;normal;diff expression;2000;0,468261239;194;208;167;56,57908778;0,515484294;33;174;208;208;2,5625;3
farashi;KNN9;combo;normal;diff expression;depict;;87;87;83;74,62340258;0,718816164;61;84;87;87;1,482758621;1
farashi;KNN9;combo;normal;no expression;25;;30;31;23;73,02052786;0,822222222;27;31;31;31;1,161290323;1
farashi;KNN9;combo;normal;no expression;50;;45;46;37;69,05034325;0,734722222;33;46;46;46;1,282608696;1
farashi;KNN9;combo;normal;no expression;100;0,498009507;54;55;46;63,43873518;0,607098765;30;55;55;55;1,636363636;1
farashi;KNN9;combo;normal;no expression;500;0,495985461;135;144;116;57,10928732;0,467155895;31;119;144;144;2,493055556;3
farashi;KNN9;combo;normal;no expression;1000;0,517484775;173;185;148;54,74274939;0,505405294;35;162;185;185;2,491891892;3
farashi;KNN9;combo;normal;no expression;2000;0,48517833;194;208;167;57,47358278;0,487568598;25;189;208;208;2,548076923;3
farashi;KNN9;combo;normal;no expression;depict;;87;87;83;73,20268437;0,695768257;59;85;87;87;1,517241379;1
farashi;KNN9;combo;binary;diff expression;25;;30;31;23;57,69794721;0,755555556;25;30;31;31;1,290322581;1
farashi;KNN9;combo;binary;diff expression;50;;45;46;37;69,52707857;0,709259259;33;45;46;46;1,391304348;1
farashi;KNN9;combo;binary;diff expression;100;0,462032793;54;55;46;60,42160738;0,573765432;32;51;55;55;1,763636364;1
farashi;KNN9;combo;binary;diff expression;500;0,48740366;135;144;116;62,75396943;0,488003134;32;123;144;144;2,395833333;2
farashi;KNN9;combo;binary;diff expression;1000;0,502101113;173;185;148;62,94921295;0,503213074;33;163;185;185;2,394594595;2
farashi;KNN9;combo;binary;diff expression;2000;0,445426129;194;208;167;58,39358034;0,492200567;23;191;208;208;2,538461538;3
farashi;KNN9;combo;binary;diff expression;depict;;87;87;83;76,94367102;0,767832215;63;84;87;87;1,413793103;1
farashi;KNN9;combo;binary;no expression;25;;30;31;23;53,51906158;0,705555556;21;31;31;31;1,322580645;1
farashi;KNN9;combo;binary;no expression;50;;45;46;37;65,40808543;0,662037037;35;46;46;46;1,304347826;1
farashi;KNN9;combo;binary;no expression;100;0,582757547;54;55;46;56,54150198;0,512885802;25;52;55;55;1,854545455;2
farashi;KNN9;combo;binary;no expression;500;0,553680231;135;144;116;57,83261537;0,479063736;36;120;144;144;2,493055556;3
farashi;KNN9;combo;binary;no expression;1000;0,51571646;173;185;148;62,47615364;0,512188118;32;152;185;185;2,508108108;2
farashi;KNN9;combo;binary;no expression;2000;0,467588797;194;208;167;57,10914713;0,494104632;16;171;208;208;2,735576923;3
farashi;KNN9;combo;binary;no expression;depict;;87;87;83;78,88198758;0,792505452;66;85;87;87;1,344827586;1
farashi;KNN9;incoming;normal;diff expression;25;;25;26;18;56,62393162;0,79;22;26;26;26;1,153846154;1
farashi;KNN9;incoming;normal;diff expression;50;;39;40;31;66,86111111;0,73015873;31;40;40;40;1,25;1
farashi;KNN9;incoming;normal;diff expression;100;;45;46;37;64,25369789;0,594119769;27;45;46;46;1,586956522;1
farashi;KNN9;incoming;normal;diff expression;500;0,487550351;121;130;103;59,47738604;0,482379843;32;115;130;130;2,361538462;2
farashi;KNN9;incoming;normal;diff expression;1000;0,51658473;159;170;134;59,80204354;0,505101187;26;156;170;170;2,388235294;2
farashi;KNN9;incoming;normal;diff expression;2000;0,507374701;180;192;152;59,28131011;0,518541631;34;175;192;192;2,401041667;2
farashi;KNN9;incoming;normal;diff expression;depict;;79;79;75;76,45866297;0,778350148;62;79;79;79;1,291139241;1
farashi;KNN9;incoming;normal;no expression;25;;25;26;18;66,66666667;0,826666667;22;26;26;26;1,153846154;1
farashi;KNN9;incoming;normal;no expression;50;;39;40;31;75,41666667;0,812271062;33;40;40;40;1,175;1
farashi;KNN9;incoming;normal;no expression;100;;45;46;37;66,62931421;0,607883598;22;46;46;46;1,565217391;2
farashi;KNN9;incoming;normal;no expression;500;0,476023607;121;130;103;56,99994065;0,49007791;35;105;128;130;2,461538462;2
farashi;KNN9;incoming;normal;no expression;1000;0,531581727;159;170;134;61,80758212;0,494333746;35;134;170;170;2,529411765;2,5
farashi;KNN9;incoming;normal;no expression;2000;0,474727305;180;192;152;57,80927968;0,487220289;21;170;192;192;2,578125;3
farashi;KNN9;incoming;normal;no expression;depict;;79;79;75;76,47349684;0,778471099;61;77;79;79;1,329113924;1
farashi;KNN9;incoming;binary;diff expression;25;;25;26;18;70,2991453;0,83;22;26;26;26;1,192307692;1
farashi;KNN9;incoming;binary;diff expression;50;;39;40;31;68,69444444;0,741452991;29;40;40;40;1,3;1
farashi;KNN9;incoming;binary;diff expression;100;;45;46;37;65,23980278;0,641031746;27;46;46;46;1,5;1
farashi;KNN9;incoming;binary;diff expression;500;0,497728827;121;130;103;63,34787512;0,527417565;35;122;130;130;2,115384615;2
farashi;KNN9;incoming;binary;diff expression;1000;0,495108034;159;170;134;58,77530558;0,515142298;39;152;170;170;2,323529412;2
farashi;KNN9;incoming;binary;diff expression;2000;0,48152528;180;192;152;53,67743542;0,488200442;18;182;192;192;2,4375;2
farashi;KNN9;incoming;binary;diff expression;depict;;79;79;75;78,08544304;0,770571603;59;77;79;79;1,379746835;1
farashi;KNN9;incoming;binary;no expression;25;;25;26;18;56,41025641;0,763333333;20;26;26;26;1,230769231;1
farashi;KNN9;incoming;binary;no expression;50;;39;40;31;65,69444444;0,73046398;29;39;40;40;1,35;1
farashi;KNN9;incoming;binary;no expression;100;;45;46;37;61,40744061;0,603768639;24;45;46;46;1,673913043;1
farashi;KNN9;incoming;binary;no expression;500;0,541851338;121;130;103;59,02124881;0,50183306;37;117;130;130;2,269230769;2
farashi;KNN9;incoming;binary;no expression;1000;0,479554373;159;170;134;57,4881589;0,476256294;37;144;170;170;2,411764706;2
farashi;KNN9;incoming;binary;no expression;2000;0,476141948;180;192;152;54,64894202;0,478320457;28;176;192;192;2,40625;2
farashi;KNN9;incoming;binary;no expression;depict;;79;79;75;80,13746044;0,800565496;60;78;79;79;1,341772152;1
farashi;KNN9;outgoing;normal;diff expression;25;;29;30;22;66,92982456;0,779885057;24;29;30;30;1,3;1
farashi;KNN9;outgoing;normal;diff expression;50;;42;43;34;65,26927785;0,734126984;35;43;43;43;1,23255814;1
farashi;KNN9;outgoing;normal;diff expression;100;0,455101403;50;51;42;58,69875223;0,575111111;28;50;51;51;1,588235294;1
farashi;KNN9;outgoing;normal;diff expression;500;0,452296652;128;137;109;55,01488803;0,4775018;32;113;137;137;2,489051095;3
farashi;KNN9;outgoing;normal;diff expression;1000;0,461612331;164;176;139;60,07258583;0,478298983;18;135;176;176;2,721590909;3
farashi;KNN9;outgoing;normal;diff expression;2000;0,472828177;182;196;155;57,2328127;0,485963597;30;186;196;196;2,413265306;3
farashi;KNN9;outgoing;normal;diff expression;depict;;79;79;75;75,6037001;0,757081421;54;77;78;79;1,443037975;1
farashi;KNN9;outgoing;normal;no expression;25;;29;30;22;61,31578947;0,785057471;24;29;30;30;1,266666667;1
farashi;KNN9;outgoing;normal;no expression;50;;42;43;34;52,57037944;0,688492063;31;43;43;43;1,279069767;1
farashi;KNN9;outgoing;normal;no expression;100;0,504620819;50;51;42;64,39393939;0,622904762;26;50;51;51;1,588235294;1
farashi;KNN9;outgoing;normal;no expression;500;0,46938774;128;137;109;57,35975269;0,468550712;24;114;137;137;2,518248175;3
farashi;KNN9;outgoing;normal;no expression;1000;0,496413908;164;176;139;59,73066884;0,519491828;31;157;176;176;2,431818182;2,5
farashi;KNN9;outgoing;normal;no expression;2000;0,487937035;182;196;155;56,22205987;0,500007212;24;177;196;196;2,566326531;3
farashi;KNN9;outgoing;normal;no expression;depict;;79;79;75;76,83544304;0,758970881;58;76;79;79;1,392405063;1
farashi;KNN9;outgoing;binary;diff expression;25;;29;30;22;59,47368421;0,74137931;22;29;30;30;1,366666667;1
farashi;KNN9;outgoing;binary;diff expression;50;;42;43;34;54,74296206;0,670634921;29;43;43;43;1,348837209;1
farashi;KNN9;outgoing;binary;diff expression;100;0,392056741;50;51;42;51,68449198;0,500960317;24;51;51;51;1,705882353;2
farashi;KNN9;outgoing;binary;diff expression;500;0,531948841;128;137;109;60,95226526;0,51439842;33;123;137;137;2,291970803;2
farashi;KNN9;outgoing;binary;diff expression;1000;0,533447896;164;176;139;57,37389302;0,511358478;32;161;176;176;2,380681818;2
farashi;KNN9;outgoing;binary;diff expression;2000;0,476592066;182;196;155;55,03948228;0,477025553;25;190;196;196;2,336734694;2
farashi;KNN9;outgoing;binary;diff expression;depict;;79;79;75;73,88997079;0,754555571;58;78;79;79;1,430379747;1
farashi;KNN9;outgoing;binary;no expression;25;;29;30;22;66,49122807;0,795977011;23;30;30;30;1,233333333;1
farashi;KNN9;outgoing;binary;no expression;50;;42;43;34;62,76009792;0,728174603;32;43;43;43;1,279069767;1
farashi;KNN9;outgoing;binary;no expression;100;0,479013681;50;51;42;54,75044563;0,506079365;22;51;51;51;1,764705882;2
farashi;KNN9;outgoing;binary;no expression;500;0,53500806;128;137;109;58,94961849;0,52461255;28;123;137;137;2,379562044;2
farashi;KNN9;outgoing;binary;no expression;1000;0,48391999;164;176;139;60,09197507;0,511559446;33;135;176;176;2,545454545;2,5
farashi;KNN9;outgoing;binary;no expression;2000;0,477239374;182;196;155;57,61882501;0,523237734;19;167;196;196;2,591836735;3
farashi;KNN9;outgoing;binary;no expression;depict;;79;79;75;72,72151899;0,741176334;56;78;79;79;1,392405063;1
farashi;RF;combo;normal;diff expression;25;;30;31;23;71,1143695;0,777777778;22;30;30;31;1,419354839;1
